java.util.List.iterator(),HashSet.Iterator()__IList.Iterator()
java.util.HashSet.remove(Object),System.Collections.Generic.HashSet.Remove(T)__var.Remove()__Lucene.Net.Index.SegmentInfos.Remove(int)__Db4objects.Remove()
java.util.concurrent.locks.ReentrantLock.lock(),ReentrantLock.Lock()
java.util.Hashtable.containsKey(Object),System.Collections.Generic.Dictionary.ContainsKey(TKey)
java.util.IdentityHashMap.size(),Db4objects.Db4o.Internal.Query.Result.IQueryResult.Size()
java.util.Iterator.next(),Iterator.Next()__NPOI.POIFS.FileSystem.NPOIFSStream.Next()__RemotePack.Next()__DocsEnum.Next()__IEnumerator.next()
java.util.Iterator.remove(),Sharpen.Iterator.Remove()__System.Collections.Generic.LinkedList.Remove(T)__RemotePack.Remove()__System.Collections.Generic.Dictionary.Remove(TKey)__NPOI.POIFS.FileSystem.NPOIFSFileSystem.Remove(EntryNode)__NPOI.POIFS.FileSystem.POIFSFileSystem.Remove(EntryNode)
java.util.LinkedHashMap.get(Object),"IDictionary.Get()__LinkedDictionary.Get()__IO.Get()__NGit.Storage.File.WindowCache.Get(PackFile,long)__iText.Layout.Font.FontSet.Get(String)__FS.Get()"
java.util.LinkedList.add(E),Builder.add()
java.util.LinkedList.addLast(E),System.Collections.Generic.LinkedList.AddLast(T)__List.AddLast()
java.util.LinkedList.getLast(),List.GetLast()
java.util.LinkedList.next(),Lucene.Net.Util.Fst.BytesRefFSTEnum.Next()__bool.Next()
java.util.List.add(String),System.Collections.ArrayList.Add(Object)__System.Collections.Generic.IList.Add(Object)__Internal.Add()__System.Collections.Generic.List.Add(T)__var.Add()
java.util.List.addAll(Collection),IList.AddAll()
java.util.List.clear(),IList.Clear()__Lucene.Net.Util.BytesRefArray.Clear()__System.Collections.Generic.List.Clear()__var.Clear()__System.Collections.ArrayList.Clear()
java.util.List.remove(String),System.Collections.Generic.IList.Remove(Object)__System.Collections.ArrayList.Remove(Object)__System.Collections.Generic.List.Remove(T)__Kernel.Remove()
"java.util.List.subList(int,int)",IList.SubList()__var.SubList()__List.SubList()
java.util.List.toArray(),IList.ToArray()__System.Collections.Generic.List.ToArray()__StreamReader.ToArray()__System.Collections.ArrayList.ToArray(Type)__var.ToArray()__int.ToArray()__System.IO.MemoryStream.ToArray()
java.util.ListIterator.previous(),Sharpen.ListIterator.Previous()
java.util.Map.clear(),System.Collections.Generic.IDictionary.Clear()__System.Collections.Hashtable.Clear()__System.Collections.Generic.Dictionary.Clear()__IObjectContainer.Clear()
java.util.Map.containsKey(Object),System.Collections.Generic.IDictionary.ContainsKey(TKey)__int.ContainsKey()__BufferedReader.ContainsKey()__System.Collections.Generic.Dictionary.ContainsKey(TKey)__Lucene.Net.Support.GeneralKeyedCollection.ContainsKey(TKey)__iText.IO.Util.IntHashtable.ContainsKey(int)
java.util.Map.containsValue(Object),System.Collections.Generic.Dictionary.ContainsValue(TValue)
java.util.Map.putAll(Map),IDictionary.PutAll()
java.util.Map.remove(Object),NPOI.POIFS.FileSystem.NPOIFSFileSystem.Remove(EntryNode)__NPOI.POIFS.FileSystem.POIFSFileSystem.Remove(EntryNode)__System.Collections.Generic.IDictionary.Remove(Object)__System.Collections.Hashtable.Remove(Object)__System.Collections.Generic.SortedList.Remove(TKey)__Db4objects.Db4o.Foundation.CircularBuffer4.Remove(object)__System.Collections.Generic.Dictionary.Remove(TKey)
java.util.Map.size(),Db4objects.Db4o.Foundation.CircularBuffer4.Size()
java.util.Map.values(),IDictionary.Values()__Hashtable.Values()__SortedList.Values()
java.util.PriorityQueue.poll(),var.Poll()
java.util.Properties.getProperty(String),iText.IO.Util.Properties.GetProperty(String)
java.util.Random.nextBytes(byte),System.Random.NextBytes(byte)__IntsRefFSTEnum.NextBytes()
java.util.Set.clear(),System.Collections.Generic.HashSet.Clear()__ISet.Clear()__System.Collections.Generic.SortedSet.Clear()__Db4objects.Clear()__NPOI.Util.Collections.HashSet.Clear()
java.util.Set.contains(Object),System.Collections.Generic.ICollection.Contains(T)__ISet.Contains()__System.Collections.Generic.HashSet.Contains(T)__bool.Contains()__System.Collections.Generic.List.Contains(T)__System.Collections.Generic.LinkedList.Contains(T)__NPOI.Util.Collections.HashSet.Contains(T)__System.Collections.ArrayList.Contains(Object)__Document.Contains()__var.Contains()__GrammarType.Contains()__Dictionary.Contains()__System.Collections.Generic.IList.Contains(Object)__Db4objects.Contains()__CharArraySet.contains()__System.Collections.Generic.SortedSet.Contains(T)__System.Collections.Generic.IDictionary.Contains(Object)__Lucene.Net.Index.SegmentInfos.Contains(SegmentCommitInfo)
java.util.Set.remove(Object),ISet.Remove()__System.Collections.Generic.HashSet.Remove(T)__ICollection.Remove()__System.Collections.Generic.List.Remove(T)__var.Remove()__System.Collections.Generic.Dictionary.Remove(TKey)__Db4objects.Remove()__System.Collections.Generic.IDictionary.Remove(Object)__System.Collections.Hashtable.Remove(Object)__System.Collections.ArrayList.Remove(Object)
java.util.Set.removeAll(Collection),Db4objects.RemoveAll()__System.Collections.Generic.List.RemoveAll(Predicate)
java.util.Set.toArray(T),System.Collections.ArrayList.ToArray(Type)__ISet.ToArray()__HashSet.ToArray()__ICollection.ToArray()
java.util.SortedMap.values(),SortedDictionary.Values()
java.util.SortedSet.last(),SortedSet.Last()__ICollection.Last()
java.util.Stack.push(E),System.Collections.Generic.Stack.Push(Object)__var.Push()
"java.util.TreeMap.put(K,V)",SortedDictionary.Put()
java.util.TreeSet.add(E),System.Collections.Generic.SortedSet.Add(T)__Builder.add()__var.Add()
java.util.TreeSet.clear(),Sharpen.TreeSet.Clear()__Lucene.Net.Util.Packed.PackedInts.Clear()
"java.util.TreeSet.headSet(E,boolean)",Sharpen.TreeSet.HeadSet(T)
"java.util.concurrent.ConcurrentHashMap.put(K,V)",RepositoryCache.Put()
java.util.concurrent.ConcurrentHashMap.values(),ConcurrentDictionary.Values()
"java.util.concurrent.ExecutorService.submit(Runnable,T)",ExecutorService.Submit()
java.util.concurrent.Future.get(),Sharpen.Future.Get()__ConcurrentMap.Get()__FS.Get()
java.util.concurrent.atomic.AtomicBoolean.get(),Lucene.Net.Support.AtomicBoolean.Get()__AtomicBoolean.Get()__Bits.Get()
java.util.concurrent.atomic.AtomicInteger.addAndGet(int),Lucene.Net.Support.AtomicInteger.AddAndGet(int)__bool.AddAndGet()__AtomicLong.AddAndGet()
java.util.concurrent.atomic.AtomicInteger.get(),Lucene.Net.Support.AtomicInteger.Get()__long.Get()__Lucene.Net.Support.AtomicLong.Get()__AtomicInteger.Get()
java.util.concurrent.atomic.AtomicInteger.getAndSet(int),Sharpen.AtomicInteger.GetAndSet(int)
java.util.concurrent.atomic.AtomicLong.get(),Lucene.Net.Support.AtomicLong.Get()__long.Get()__Lucene.Net.Support.AtomicInteger.Get()__Db4objects.Db4o.Internal.Query.Result.IQueryResult.Get(int)__Lucene.Net.Util.RefCount.Get()
java.util.concurrent.atomic.AtomicLong.incrementAndGet(),AtomicInteger.IncrementAndGet()
java.util.LinkedList.clear(),System.Collections.Generic.LinkedList.Clear()
java.util.concurrent.locks.ReentrantLock.tryLock(),Lucene.Net.Support.ReentrantLock.TryLock()
java.util.concurrent.locks.ReentrantLock.unlock(),Lucene.Net.Support.ReentrantLock.Unlock()__Sharpen.ReentrantLock.Unlock()
java.util.regex.Matcher.group(int),Matcher.group()__Sharpen.Matcher.Group(int)
java.util.regex.Matcher.matches(),"Matcher.matches()__Sharpen.Matcher.Matches()__IMatchPredicate.Matches()__System.Text.RegularExpressions.Regex.Matches(String,String)"
java.util.regex.Matcher.start(int),Matcher.start()
java.util.zip.CRC32.getValue(),Sharpen.CRC32.GetValue()
java.util.zip.CRC32.reset(),CRC32.Reset()__MessageDigest.Reset()
"java.util.zip.Deflater.deflate(byte,int,int,int)",System.IO.Compression.Deflater.Deflate(ZFlushCode)__int.Deflate()
java.util.zip.Deflater.finish(),"System.IO.Compression.Deflater.Finish(byte,int)__int.Finish()"
java.util.zip.Deflater.reset(),Deflater.Reset()__int.Reset()__ICSharpCode.Reset()
java.util.zip.DeflaterOutputStream.finish(),DeflaterOutputStream.Finish()__NGit.Storage.Pack.DeltaWindow.Finish()
"java.util.zip.DeflaterOutputStream.write(byte,int,int)",DeflaterOutputStream.Write()__ZipOutputStream.Write()__Sharpen.IO.BufferedOutputStream.Write(int)__iText.Kernel.Crypto.OutputStreamEncryption.Write(int)
java.util.zip.InflaterInputStream.close(),ZipInputStream.Close()__DeflaterOutputStream.Close()__System.Xml.XmlWriter.Close()__Transport.Close()
"java.util.zip.InflaterInputStream.read(byte,int,int)","System.IO.MemoryStream.Read(byte,int,int)__System.util.zlib.ZInflaterInputStream.Read(byte,int,int)__InflaterInputStream.Read()__FileInputStream.Read()__System.IO.TextReader.Read()__FileStream.Read()__ZipInputStream.Read()__IBin.Read()__Sharpen.InputStream.Read()"
java.io.PrintStream.println(int),PrintStream.println()
java.util.zip.ZipFile.close(),ZipFile.Close()
java.util.zip.ZipFile.getEntry(String),ZipFile.GetEntry()
java.util.zip.ZipFile.getInputStream(ZipEntry),ZipFile.GetInputStream()
java.util.zip.ZipInputStream.close(),ZipInputStream.Close()__DeflaterOutputStream.Close()__Transport.Close()
java.util.zip.ZipInputStream.getNextEntry(),ZipInputStream.GetNextEntry()
java.util.zip.ZipOutputStream.closeEntry(),ZipOutputStream.CloseEntry()
java.util.zip.ZipOutputStream.putNextEntry(ZipEntry),ZipOutputStream.PutNextEntry()
java.write(),"System.IO.Stream.Write(byte,int,int)__Sharpen.OutputStream.Write(int)__Sharpen.DigestOutputStream.Write(int)__System.IO.BinaryWriter.Write(int)__Db4objects.Db4o.IO.IBin.Write(long,byte,int)"
java.util.regex.Pattern.matcher(CharSequence),Pattern.matcher()__Sharpen.Matcher()__Sharpen.Pattern.Matcher(string)
java.util.List.contains(Point),System.Collections.Generic.IList.Contains(Object)__System.Collections.Generic.List.Contains(T)__string.Contains()__System.Collections.Generic.LinkedList.Contains(T)
java.io.ByteArrayOutputStream.write(int),"System.IO.MemoryStream.Write(byte,int,int)__ByteArrayOutputStream.Write()__IO.Write()__OutputStreamWriter.Write()"
java.util.ListIterator.hasPrevious(),ListIterator.HasPrevious()
"java.lang.StringBuffer.setCharAt(int,char)",StringBuilder.SetCharAt()
"java.util.concurrent.atomic.AtomicReference.compareAndSet(V,V)","Sharpen.AtomicReference.CompareAndSet(T,T)__FilePath.CompareAndSet()"
java.net.PasswordAuthentication.getUserName(),Sharpen.PasswordAuthentication.GetUserName()
"java.net.URI.toString(String,String,String,String,String,int,String,String,String)",System.Uri.ToString()__System.String.ToString(IFormatProvider)
java.util.Hashtable.get(Object),NPOI.HPSF.Wellknown.PropertyIDMap.Get(long)
java.util.TreeMap.remove(),System.Collections.Generic.SortedList.Remove(TKey)__System.Collections.Generic.Dictionary.Remove(TKey)
java.text.Annotation.equals(Object),System.Attribute.Equals(Object)__System.Type.Equals(Object)
java.lang.String.toString(),Lucene.Net.Search.MultiPhraseQuery.ToString(string)
java.util.Vector.remove(int),System.Collections.Generic.List.Remove(T)__ISet.Remove()__System.Collections.Generic.SortedList.Remove(TKey)__System.Collections.Generic.Dictionary.Remove(TKey)__AList.Remove()__System.Collections.ArrayList.Remove(Object)__System.Collections.Hashtable.Remove(Object)
java.lang.Object.toString(),object.ToString()__System.Object.ToString()__System.String.ToString(IFormatProvider)
java.util.BitSet.nextSetBit(int),var.NextSetBit()__Lucene.Net.Spatial.Util.FixedBitSet.NextSetBit(int)
"java.util.Map.put(K,V)","IDictionary.Put()__BufferedReader.Put()__IO.Put()__ICollection.Put()__NPOI.HPSF.Wellknown.SectionIDMap.Put(byte,PropertyIDMap)__WindowsMetrics.Put()__FileInfo.Put()__Transport.Put()__FontSet.Put()"
java.io.OutputStream.close(),Sharpen.OutputStream.Close()__InterruptTimer.Close()__NGit.Util.IO.TimeoutOutputStream.Close()__System.IO.Stream.Close()__OutputStream.close()
"java.io.BufferedInputStream.read(byte,int,int)",BufferedInputStream.Read()__Sharpen.RandomAccessFile.Read(byte)
java.util.Vector.contains(Object),System.Collections.ArrayList.Contains(Object)__HashSet.contains()
java.util.Vector.clear(),System.Collections.Generic.List.Clear()__System.Collections.ArrayList.Clear()__Lucene.Net.Util.BytesRefArray.Clear()
java.util.concurrent.atomic.AtomicInteger.decrementAndGet(),Lucene.Net.Support.AtomicInteger.DecrementAndGet()
java.util.concurrent.atomic.AtomicReferenceArray.get(int),"ReferenceQueue.Get()__NGit.Storage.File.WindowCache.Get(PackFile,long)"
"System.IO.Stream.Write(byte,int,int)","com.itextpdf.io.source.OutputStream.write(byte)__java.write()__java.io.OutputStream.write(byte)__InputStream.write()__java.io.BufferedOutputStream.write(byte,int,int)"
System.Collections.ArrayList.Remove(Object),java.util.List.remove(String)__java.util.Vector.remove(int)
"System.Xml.XmlElement.GetAttribute(string,string)",Element.getAttribute()__RootBeanDefinition.getAttribute()
System.Net.Sockets.Socket.Connect(EndPoint),"java.net.Socket.connect(SocketAddress,int)"
System.Collections.System.Collections.Generic.BitArray.Clone(),org.apache.lucene.util.LongBitSet.clone()__org.apache.lucene.util.FixedBitSet.clone()__int.clone()
System.Collections.Generic.LinkedList.AddLast(T),java.util.LinkedList.addLast(E)
"System.String.IndexOf(String,int,StringComparison)","java.lang.String.indexOf(String,int)__int.indexOf()"
"System.String.Substring(int,int)",java.lang.String.substring(int)
System.Collections.Generic.Stack.Pop(),Stack.pop()__org.antlr.runtime.misc.IntArray.pop()
System.Data.Common.Utils.Set.Add(TElement),java.util.Set.add(E)
System.Type.GetField(String),short.getField()
System.Xml.XmlElement.GetElementsByTagName(string),Element.getElementsByTagName()
System.Collections.System.Collections.Generic.BitArray.Get(int),java.util.BitSet.get(int)
"System.Exception.ToString(bool,bool)",Exception.toString()__Distribution.toString()__com.db4o.internal.query.processor.QConObject.toString()
"System.IO.Compression.Deflater.SetInput(byte,int)",java.util.zip.Deflater.setInput(byte)
System.IO.DirectoryInfo.ToString(),org.antlr.runtime.BufferedTokenStream.toString()__ANTLRTreePrinter.toString()
"System.IO.Stream.Read(byte,int,int)","java.io.InputStream.read(byte)__com.itextpdf.io.codec.brotli.dec.BrotliInputStream.read()__FileInputStream.read()__com.itextpdf.io.source.RandomAccessFileOrArray.read(byte,int,int)__EvilUnclosedBRFixingInputStream.read()__org.locationtech.jtstest.testbuilder.io.shapefile.ShapeHandler.read(EndianDataInputStream,GeometryFactory,int)"
System.Xml.XmlWriter.Close(),java.io.ByteArrayOutputStream.close()__java.util.zip.InflaterInputStream.close()__EvilUnclosedBRFixingInputStream.close()__org.apache.poi.openxml4j.opc.OPCPackage.close()
"System.Array.GetValue(int,int)",CacheEntry.getValue()
System.Collections.Hashtable.Clear(),java.util.Map.clear()
System.Collections.Generic.IDictionary.Clear(),java.util.Map.clear()__HashMap.clear()
System.Collections.Generic.List.Add(T),java.util.List.add(String)__java.util.ArrayList.add(E)
System.Collections.Generic.SortedSet.Clear(),java.util.Set.clear()
System.Collections.Generic.SortedSet.Contains(T),java.util.Set.contains(Object)
System.IO.StreamReader.Close(),BufferedReader.close()__org.eclipse.jgit.internal.storage.pack.PackWriter.close()__InputStreamReader.close()__com.db4o.cs.internal.ClientTransactionPool.close()__Reader.close()__java.io.PrintStream.close()__LineNumberReader.close()__StopAnalyzer.close()__java.close()__HWPFOldDocument.close()__ShingleAnalyzerWrapper.close()__org.eclipse.jgit.diff.DiffFormatter.close()
System.String.EndsWith(String),java.lang.String.endsWith(String)
System.Collections.ArrayList.ToArray(Type),java.util.List.toArray()__java.util.Set.toArray(T)
System.Collections.Generic.IList.Add(Object),com.itextpdf.layout.element.List.add(ListItem)__java.util.List.add(String)__char.add()__java.add()__org.locationtech.jts.operation.linemerge.LineMerger.add(Geometry)
System.Collections.Generic.HashSet.Contains(T),java.util.Set.contains(Object)__java.util.HashSet.contains(Object)
System.IO.StreamReader.ReadLine(),java.io.BufferedReader.readLine(boolean)__java.io.LineNumberReader.readLine()
System.Collections.Generic.ICollection.Add(T),java.util.Set.add(E)__java.util.Collection.add(E)__int.add()
"System.IO.Compression.Inflater.SetInput(byte,int,int)","java.util.zip.Inflater.setInput(byte,int,int)__org.eclipse.jgit.internal.storage.file.ByteWindow.setInput(long,Inflater)"
System.Diagnostics.Process.ToString(),StreamVacuum.toString()
System.Reflection.ConstructorInfo.Invoke(Object),org.springframework.aop.framework.adapter.ThrowsAdviceInterceptor.invoke(MethodInvocation)
System.Collections.Generic.HashSet.Clear(),java.util.Set.clear()__java.util.HashSet.clear()__java.util.TreeSet.clear()__HashMap.clear()
System.Web.UI.WebControls.Table.Add(Control),Table.add()
System.Collections.Generic.List.Contains(T),java.util.TreeSet.contains(Object)__java.util.Set.contains(Object)__java.util.List.contains(Point)__java.util.HashSet.contains(Object)__OrderedHashSet.contains()
System.Attribute.Equals(Object),java.text.Annotation.equals(Object)
System.Collections.Generic.SortedSet.Add(T),SortedSet.add()__org.apache.lucene.index.PrefixCodedTerms.add(Term)__java.util.TreeSet.add(E)__java.util.Set.add(E)
System.IO.MemoryStream.Flush(),LittleEndianOutputStream.flush()__ByteArrayOutputStream.flush()
System.Runtime.Remoting.Activation.IActivator.Activate(IConstructionCallMessage),Activator.activate()
System.String.CompareTo(Object),java.lang.String.compareTo(String)
System.IO.Compression.Deflater.Deflate(ZFlushCode),"java.util.zip.Deflater.deflate(byte,int,int,int)"
System.Collections.Generic.LinkedList.Contains(T),java.util.Set.contains(Object)__java.util.TreeSet.contains(Object)__Builder.contains()__java.util.HashSet.contains(Object)__OrderedHashSet.contains()
System.Close(),java.io.InputStream.close()__org.apache.lucene.analysis.TokenStream.close()__Reader.close()__LineNumberReader.close()__ClassicAnalyzer.close()__InputStreamReader.close()__HPSFPropertiesExtractor.close()
"System.util.zlib.ZInflaterInputStream.Read(byte,int,int)","java.util.zip.InflaterInputStream.read(byte,int,int)__TsaResponse.read()__FileInputStream.read()__java.read()__com.db4o.io.BlockAwareBin.read(long,byte)__com.db4o.io.Bin.read(long,byte,int)"
"System.IO.MemoryStream.Write(byte,int,int)",java.io.ByteArrayOutputStream.write(int)__com.itextpdf.kernel.xmp.XmlDomWriter.write(Node)__java.nio.channels.FileChannel.write(ByteBuffer)
System.IO.TextReader.ReadLine(),java.io.BufferedReader.readLine(boolean)__java.io.LineNumberReader.readLine()
System.Collections.Generic.LinkedList.RemoveFirst(),java.util.LinkedList.removeFirst()
"System.IO.MemoryStream.Read(byte,int,int)","java.util.zip.InflaterInputStream.read(byte,int,int)__com.itextpdf.io.codec.brotli.dec.BrotliInputStream.read()__TsaResponse.read()__java.read()__FileInputStream.read()__org.eclipse.jgit.lib.ObjectStream.read()__java.io.InputStream.read(byte)__java.io.BufferedInputStream.read(byte,int,int)"
System.Xml.XmlAttributeCollection.SetNamedItem(XmlNode),NamedNodeMap.setNamedItem()
System.Append(),java.lang.StringBuilder.append(boolean)__int.append()__String.append()
System.Collections.Generic.List.RemoveAll(Predicate),java.util.Set.removeAll(Collection)
"System.IO.StreamWriter.Flush(bool,bool)",java.io.PrintStream.flush()__java.io.OutputStreamWriter.flush()
System.Collections.Immutable.Builder.Contains(T),Builder.contains()
System.Collections.Generic.HashSet.Add(T),java.util.Set.add(E)__StringBuilder.add()__java.util.HashSet.add(E)
System.String.Contains(string),java.lang.String.contains(CharSequence)__java.util.HashSet.contains(Object)
System.IO.TextWriter.Close(),Writer.close()__java.close()__java.io.PrintStream.close()__org.apache.poi.openxml4j.opc.OPCPackage.close()
System.Distance(),org.locationtech.jts.geom.LineSegment.distance(Coordinate)
System.String.Clone(),String.clone()
System.Collections.Generic.ISet.Add(T),java.util.Set.add(E)__int.add()__java.util.List.add(String)__org.add()
System.IO.StreamReader.Read(),"InputStreamReader.read()__java.io.Reader.read(char)__org.apache.lucene.analysis.charfilter.HTMLStripCharFilter.read()__FileReader.read()__org.apache.lucene.analysis.ReusableStringReader.read(char,int,int)"
System.Collections.Generic.Dictionary.ContainsValue(TValue),java.util.Map.containsValue(Object)
"System.String.StartsWith(String,StringComparison)","java.lang.String.startsWith(String,int)"
System.Uri.ToString(),"java.net.URL.toString()__java.net.URI.toString(String,String,String,String,String,int,String,String,String)"
System.Type.IsAssignableFrom(Type),Class.isAssignableFrom()
System.Type.Equals(Object),Class.equals()__java.text.Annotation.equals(Object)__FlushMode.equals()
System.Collections.Generic.LinkedList.Remove(T),java.util.Iterator.remove()
System.Collections.Generic.List.ToArray(),java.util.List.toArray()__java.util.ArrayList.toArray()
"System.Type.GetMethod(String,BindingFlags)",Class.getMethod()
System.Xml.XmlDocument.CreateTextNode(String),Document.createTextNode()
System.Collections.Generic.SortedList.Remove(TKey),"java.util.TreeMap.remove()__SortedMap.remove()__java.util.Vector.remove(int)__java.util.Map.remove(Object)__org.apache.poi.poifs.filesystem.OPOIFSFileSystem.remove(EntryNode)__java.util.concurrent.ConcurrentHashMap.remove(Object,Object)__java.util.Collection.remove(Object)__org.apache.poi.poifs.filesystem.NPOIFSFileSystem.remove(EntryNode)"
System.IO.StringWriter.ToString(),StringWriter.toString()
System.Collections.Generic.SortedDictionary.Remove(TKey),SortedMap.remove()
"System.Collections.Hashtable.Add(Object,Object)",java.util.Set.add(E)__java.util.HashSet.add(E)
"System.Type.GetConstructor(BindingFlags,Binder,Type,ParameterModifier)",short.getConstructor()
System.Collections.Hashtable.Contains(Object),java.util.ArrayList.contains(Object)__java.util.HashSet.contains(Object)
System.IO.StringWriter.Write(char),StringWriter.write()
"System.IO.BinaryReader.Read(char,int,int)","java.io.DataInputStream.read(byte)__EvilUnclosedBRFixingInputStream.read()__org.locationtech.jtstest.testbuilder.io.shapefile.ShapeHandler.read(EndianDataInputStream,GeometryFactory,int)__FileInputStream.read()"
System.Diagnostics.PerformanceCounter.Increment(),SafeCounter.increment()
System.IO.TextWriter.Flush(),Writer.flush()__java.flush()__java.io.PrintStream.flush()
System.Collections.Generic.IEnumerator.MoveNext(),com.db4o.foundation.Iterator4.moveNext()
"System.Text.StringBuilder.Insert(int,float)","java.lang.StringBuffer.insert(int,char,int,int)__java.lang.StringBuilder.insert(int,char,int,int)"
"System.String.Replace(char,char)","java.lang.String.replace(char,char)"
System.Collections.Generic.Dictionary.Remove(TKey),"org.apache.poi.poifs.filesystem.OPOIFSFileSystem.remove(EntryNode)__java.lang.ThreadLocal.remove(ThreadLocal)__java.util.Vector.remove(int)__java.util.Iterator.remove()__java.util.TreeMap.remove()__org.apache.poi.poifs.filesystem.NPOIFSFileSystem.remove(EntryNode)__java.util.concurrent.ConcurrentHashMap.remove(Object,Object)__java.util.Map.remove(Object)"
System.Clear(),java.util.Hashtable.clear()
System.Collections.ArrayList.Add(Object),"java.util.List.add(String)__java.util.Vector.add(int,E)__java.util.ArrayList.add(E)"
System.Collections.ArrayList.Clear(),java.util.Vector.clear()__java.util.List.clear()__java.util.ArrayList.clear()__Username.clear()
System.Collections.ArrayList.Clone(),java.util.ArrayList.clone()
"System.Collections.Generic.Dictionary.Add(TKey,TValue)",ST.add()__org.locationtech.jts.geomgraph.EdgeList.add(Edge)
System.Collections.Generic.Dictionary.Clear(),HashMap.clear()__java.util.Map.clear()__org.apache.poi.openxml4j.opc.PackagePart.clear()
System.Collections.Generic.Dictionary.ContainsKey(TKey),java.util.Hashtable.containsKey(Object)__java.util.Map.containsKey(Object)__HashMap.containsKey()
System.Collections.Generic.HashSet.Remove(T),java.util.HashSet.remove(Object)__java.util.Set.remove(Object)
System.Collections.Generic.ICollection.Clear(),java.util.Collection.clear()__org.eclipse.jgit.dircache.DirCache.clear()
System.Collections.Generic.ICollection.Contains(T),java.util.Set.contains(Object)__java.util.Collection.contains(Object)__UnicodeScript.contains()
System.Collections.Generic.IDictionary.Contains(Object),java.util.Set.contains(Object)
System.Collections.Generic.IDictionary.ContainsKey(TKey),java.util.Map.containsKey(Object)__org.apache.lucene.analysis.util.CharArrayMap.containsKey(Object)__Ref.containsKey()
System.Collections.Generic.IDictionary.Remove(Object),java.util.Map.remove(Object)
